Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,Nifty_Change,Nifty_%Chg
2014-02-04,4650.19,4055.52,594.67,1455.93,1927.71,-471.78,,,
2014-02-05,2777.61,2390.66,386.95,772.4,1178.05,-405.65,,,
2014-02-06,3418.27,3183.78,234.49,1478.47,1627.28,-148.81,,,
2014-02-07,4805.76,3515.08,1290.68,1471.88,1879.59,-407.71,,,
2014-02-09,3876.27,3203.46,672.81,1820.36,1988.21,-167.85,,,
2014-02-12,3570.7,3463.88,106.82,1513.18,1553.6,-40.42,,,
2014-02-13,2470.02,2070.62,399.4,763.56,1055.96,-292.4,,,
2014-02-14,2345.63,2361.49,-15.86,805.14,850.14,-45.0,,,
2014-02-17,2461.48,1938.66,522.82,490.88,736.05,-245.17,,,
2014-02-18,2327.07,2034.84,292.23,738.64,893.47,-154.83,,,
2014-02-19,1812.17,1343.7,468.47,458.89,797.63,-338.74,,,
2014-02-20,2382.18,2175.72,206.46,457.4,1058.11,-600.71,,,
2014-02-21,2371.43,1768.02,603.41,582.18,963.73,-381.55,,,
2014-02-24,2379.03,2112.16,266.87,580.59,829.08,-248.49,,,
2014-02-25,2649.66,2226.25,423.41,790.52,1079.64,-289.12,,,
2014-02-26,4047.65,3536.5,511.15,1163.89,1415.8,-251.91,,,
2014-02-28,6737.21,6145.39,591.82,1334.45,1322.43,12.02,,,
2014-03-01,1876.98,1895.04,-18.06,927.26,1208.03,-280.77,,,
2014-03-02,2798.91,3451.88,-652.97,1294.09,967.08,327.01,,,
2014-03-03,2524.18,2325.65,198.53,2717.47,1151.16,1566.31,,,
2014-03-04,4733.22,4015.83,717.39,1091.01,1807.58,-716.57,,,
2014-03-06,5615.85,5040.76,575.09,1486.77,1386.96,99.81,,,
2014-03-07,4409.29,3458.47,950.82,1209.54,1833.75,-624.21,,,
2014-03-09,6178.38,4889.81,1288.57,1762.22,2231.91,-469.69,,,
2014-03-11,4459.07,3045.73,1413.34,1334.2,2517.28,-1183.08,,,
2014-03-12,4758.37,4367.3,391.07,1976.4,2133.63,-157.23,,,
2014-03-13,3955.11,3338.49,616.62,1215.54,1529.94,-314.4,,,
2014-03-14,3951.44,2969.25,982.19,733.47,1599.89,-866.42,,,
2014-03-18,4629.09,3617.14,1011.95,1156.69,1358.66,-201.97,,,
2014-03-19,4655.28,3585.54,1069.74,1328.84,1939.8,-610.96,,,
2014-03-20,3528.74,2806.72,722.02,945.3,1508.59,-563.29,,,
2014-03-21,8460.75,4238.65,4222.1,3605.21,7681.81,-4076.6,,,
2014-03-24,3889.48,2423.86,1465.62,972.7,1743.09,-770.39,,,
2014-03-25,3943.0,2720.0,1223.0,1177.0,1721.0,-544.0,,,
2014-03-26,3965.79,2961.27,1004.52,1644.44,2000.55,-356.11,,,
2014-03-27,8064.48,5872.55,2191.93,2324.96,2916.79,-591.83,,,
2014-03-28,4323.8,2960.93,1362.87,1360.21,1568.55,-208.34,,,
2014-03-31,4248.84,3305.98,942.86,1358.08,1969.3,-611.22,,,
2014-04-02,1897.83,3131.85,-1234.02,1969.84,1105.29,864.55,,,
2014-04-03,2528.91,2343.3,185.61,1087.73,1432.23,-344.5,,,
2014-04-04,3106.52,2874.06,232.46,977.9,2102.96,-1125.06,,,
2014-04-07,3626.61,2683.42,943.19,989.16,1842.26,-853.1,,,
2014-04-08,4196.86,3824.3,372.56,1384.14,1634.94,-250.8,,,
2014-04-09,5458.31,3760.57,1697.74,1172.65,1727.88,-555.23,,,
2014-04-12,4043.19,3569.19,474.0,1236.04,1822.02,-585.98,,,
2014-04-15,3695.95,3717.58,-21.63,1150.09,1428.36,-278.27,,,
2014-04-16,2998.97,3043.66,-44.69,1058.34,1406.04,-347.7,,,
2014-04-17,3360.34,2926.94,433.4,1531.02,1653.77,-122.75,,,
2014-04-21,2258.18,2045.33,212.85,1419.49,1637.15,-217.66,,,
2014-04-22,2520.78,2357.85,162.93,1074.26,1372.72,-298.46,,,
2014-04-23,5607.62,4840.01,767.61,1732.51,2266.39,-533.88,,,
2014-04-25,4618.36,4323.35,295.01,1055.59,1472.89,-417.3,,,
2014-04-28,3541.13,3464.11,77.02,931.52,1302.05,-370.53,,,
2014-04-29,2736.04,2448.06,287.98,853.04,1403.93,-550.89,,,
2014-04-30,4444.92,3990.44,454.48,1329.06,1322.6,6.46,,,
2014-05-02,2286.14,2862.34,-576.2,1610.18,794.95,815.23,,,
2014-05-03,3103.41,2366.12,737.29,983.98,1185.83,-201.85,,,
2014-05-05,2237.0,1957.14,279.86,1065.17,1065.17,0.0,,,
2014-05-06,7408.08,6039.11,1368.97,1807.48,2233.27,-425.79,,,
2014-05-08,3029.3,2976.45,52.85,1306.52,1244.3,62.22,,,
2014-05-09,3807.81,3497.3,310.51,1217.3,1572.11,-354.81,,,
2014-05-11,7123.22,6092.37,1030.85,1307.55,2512.18,-1204.63,,,
2014-05-12,4071.22,4180.67,-109.45,1537.3,1371.25,166.05,,,
2014-05-13,6199.33,4173.1,2026.23,1638.14,2287.56,-649.42,,,
2014-05-14,5378.75,3858.67,1520.08,1294.01,1704.02,-410.01,,,
2014-05-15,4821.3,3886.36,934.94,1705.37,2090.77,-385.4,,,
2014-05-16,11962.31,8327.49,3634.82,3329.16,3678.48,-349.32,,,
2014-05-19,8446.21,7096.17,1350.04,3299.12,3647.6,-348.48,,,
2014-05-20,7008.21,7112.74,-104.53,1560.27,2217.1,-656.83,,,
2014-05-21,5630.6,5896.82,-266.22,1575.7,2014.73,-439.03,,,
2014-05-22,6656.03,6951.02,-294.99,2086.27,1883.2,203.07,,,
2014-05-23,6726.68,6309.88,416.8,1864.56,2000.06,-135.5,,,
2014-05-26,5744.28,5828.41,-84.13,2498.83,2707.22,-208.39,,,
2014-05-27,5062.53,5265.14,-202.61,1449.11,1544.74,-95.63,,,
2014-05-28,5553.09,5839.63,-286.54,1525.53,1558.93,-33.4,,,
2014-05-29,6821.81,7344.71,-522.9,2386.37,2191.17,195.2,,,
2014-06-01,1928.9,2247.81,-318.91,1080.83,1103.37,-22.54,,,
2014-06-02,2787.0,2776.25,10.75,1641.95,1031.15,610.8,,,
2014-06-03,4038.74,2765.81,1272.93,989.17,1556.27,-567.1,,,
2014-06-05,1702.11,1656.18,45.93,1352.01,1407.74,-55.73,,,
2014-06-06,7957.08,6674.04,1283.04,2036.19,2351.34,-315.15,,,
2014-06-08,4052.29,3768.42,283.87,1148.74,1116.15,32.59,,,
2014-06-13,5305.7,4205.78,1099.92,1545.83,1187.12,358.71,,,
2014-06-16,3715.13,3909.23,-194.1,1187.21,1635.51,-448.3,,,
2014-06-17,4641.02,4593.0,48.02,1435.15,1671.94,-236.79,,,
2014-06-18,4438.7,4072.52,366.18,1649.51,1331.36,318.15,,,
2014-06-19,3982.66,4403.17,-420.51,1213.19,1331.0,-117.81,,,
2014-06-20,4132.41,4353.06,-220.65,1099.21,1025.36,73.85,,,
2014-06-23,2764.53,2979.02,-214.49,1655.84,1538.41,117.43,,,
2014-06-24,3817.74,3533.13,284.61,1550.52,1766.69,-216.17,,,
2014-06-25,3739.2,3044.57,694.63,1410.34,1843.97,-433.63,,,
2014-06-26,4465.65,5067.54,-601.89,2034.67,1863.75,170.92,,,
2014-06-27,3780.97,3598.42,182.55,1422.69,1595.09,-172.4,,,
2014-06-30,5228.56,3940.4,1288.16,1644.57,1825.8,-181.23,,,
2014-07-01,2227.91,2794.93,-567.02,1115.68,1056.24,59.44,,,
2014-07-02,2787.0,2776.25,10.75,1641.95,1031.15,610.8,,,
2014-07-03,6398.33,3820.89,2577.44,1678.02,2347.6,-669.58,,,
2014-07-04,3591.96,2888.25,703.71,689.84,1771.2,-1081.36,,,
2014-07-05,4257.46,4138.35,119.11,1250.19,1509.07,-258.88,,,
2014-07-07,5720.05,5521.48,198.57,1935.4,2020.62,-85.22,,,
2014-07-08,2714.74,2787.81,-73.07,1290.1,1061.11,228.99,,,
2014-07-10,5056.61,5389.45,-332.84,1814.9,1487.25,327.65,,,
2014-07-11,8091.15,5554.02,2537.13,1818.33,2010.53,-192.2,,,
2014-07-14,3026.32,3584.57,-558.25,1352.17,1020.65,331.52,,,
2014-07-15,3026.38,3029.78,-3.4,1464.59,992.81,471.78,,,
2014-07-16,4501.16,3879.48,621.68,1600.18,1648.66,-48.48,,,
2014-07-17,4488.64,2576.22,1912.42,1454.82,2770.84,-1316.02,,,
2014-07-18,3291.31,2716.84,574.47,1074.52,1357.69,-283.17,,,
2014-07-21,2674.38,2513.21,161.17,992.28,1173.44,-181.16,,,
2014-07-22,3509.38,3097.35,412.03,1482.39,1423.16,59.23,,,
2014-07-23,3652.41,3000.01,652.4,1348.27,1640.36,-292.09,,,
2014-07-24,3269.44,2987.0,282.44,1224.83,1515.18,-290.35,,,
2014-07-25,3749.73,3624.22,125.51,1665.38,1875.4,-210.02,,,
2014-07-28,2919.4,2844.36,75.04,1388.94,1333.03,55.91,,,
2014-07-30,6133.66,6515.32,-381.66,2453.02,1937.37,515.65,,,
2014-07-31,7142.2,8797.06,-1654.86,3287.18,1866.82,1420.36,,,
2014-08-01,2789.11,2709.43,79.68,1114.1,1202.25,-88.15,,,
2014-08-05,3546.43,3183.19,363.24,1371.27,1491.17,-119.9,,,
2014-08-07,5138.38,4715.66,422.72,1450.28,1849.84,-399.56,,,
2014-08-08,2754.39,3258.13,-503.74,1560.6,1104.58,456.02,,,
2014-08-09,4416.57,3253.59,1162.98,1530.08,2038.45,-508.37,,,
2014-08-10,3252.99,4693.98,-1440.99,1937.08,1273.99,663.09,,,
2014-08-12,8206.6,3222.0,4984.6,2458.71,1428.06,1030.65,,,
2014-08-13,4745.81,4027.54,718.27,1627.54,1605.51,22.03,,,
