Date,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr),Nifty_RSI_14,BankNifty_RSI_14,ICICI_RSI_14
2024-08-30,1229.199951171875,25235.900390625,51351.0,2493.800048828125,83.83,6.863,6.772,3.91100001335144,3.714999914169311,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,6.585873921966945,10261.0,18308.0,69.14963479996008,55.74787238728842,62.891167664499115
2024-09-02,1229.949951171875,25278.69921875,51439.55078125,2493.800048828125,83.83,6.876,6.775,3.91100001335144,3.714999914169311,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,6.585873921966945,10261.0,18308.0,69.99533863395828,56.90931049657308,63.131965083273414
2024-09-03,1247.699951171875,25279.849609375,51689.1015625,2489.89990234375,83.94,6.87,6.774,3.8440001010894775,3.6559998989105225,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,6.585873921966945,10261.0,18308.0,70.01912895900107,60.08846454170614,68.36407493435651
2024-09-04,1236.3499755859375,25198.69921875,51400.25,2493.39990234375,83.95,6.859,6.763,3.76799988746643,3.565999984741211,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,6.585873921966945,10261.0,18308.0,66.04120394411297,55.027765857226704,62.27793005704168
2024-09-05,1235.949951171875,25145.099609375,51473.05078125,2511.39990234375,83.96,6.855,6.759,3.7309999465942383,3.5399999618530273,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,6.585873921966945,10261.0,18308.0,63.476095180304995,56.03283024704021,62.06820044547514
2024-09-06,1208.1500244140625,24852.150390625,50576.8515625,2493.5,83.91,6.854,6.752,3.7100000381469727,3.489000082015991,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,6.585873921966945,10261.0,18308.0,51.66472396988103,43.22586297569265,49.57370326664376
2024-09-09,1235.0,24936.400390625,51117.80078125,2501.800048828125,83.93,6.854,6.748,3.697000026702881,3.486999988555908,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,6.585873921966945,10261.0,18308.0,54.29852281377261,50.56985571261894,58.303999085843536
2024-09-10,1237.300048828125,25041.099609375,51272.30078125,2512.300048828125,83.95,6.851,6.74,3.6459999084472656,3.427999973297119,3040.46,-839.45,157.2212,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,57.40478046240823,52.46126696903674,58.95948376259496
2024-09-11,1236.3499755859375,24918.44921875,51010.0,2512.10009765625,83.95,6.83,6.723,3.6530001163482666,3.447000026702881,3040.46,-839.45,157.2212,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,52.87124561853473,49.03105385611501,58.550034578200865
2024-09-12,1252.1500244140625,25388.900390625,51772.3984375,2551.199951171875,83.92,6.811,6.718,3.680000066757202,3.4660000801086426,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,64.46402227463878,57.69045369337146,63.13509894023789
2024-09-13,1250.3499755859375,25356.5,51938.05078125,2581.300048828125,83.88,6.792,6.701,3.650000095367432,3.424000024795532,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,63.30900789754007,59.30812438843389,62.28972622615599
2024-09-16,1262.8499755859375,25383.75,52153.1484375,2580.39990234375,83.89,6.762,6.685,3.621000051498413,3.4049999713897705,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,63.89492899661197,61.37332322593924,65.72215318804098
2024-09-17,1268.0999755859375,25418.55078125,52188.6484375,2564.300048828125,83.75,6.779,6.688,3.6419999599456783,3.433000087738037,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,64.67085442900222,61.71864094959602,67.07755383710152
2024-09-18,1288.3499755859375,25377.55078125,52750.3984375,2570.699951171875,83.75,6.779,6.688,3.684999942779541,3.4649999141693115,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,62.95430326833908,66.77963002856463,71.72217747108651
2024-09-19,1292.0,25415.80078125,53037.6015625,2588.0,83.68,6.758,6.671,3.740000009536743,3.503000020980835,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,63.916554378624255,69.03370357751197,72.47592616220192
2024-09-20,1338.449951171875,25790.94921875,53793.19921875,2619.89990234375,83.57,6.761,6.681,3.7279999256134033,3.4839999675750732,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,71.68485227383721,74.02685061876048,79.84033751867686
2024-09-23,1321.9000244140625,25939.05078125,54105.80078125,2626.5,83.53,6.767,6.681,3.739000082015991,3.496000051498413,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,74.0591904561488,75.76771403963066,72.40672798765937
2024-09-24,1318.5999755859375,25940.400390625,53968.6015625,2651.199951171875,83.66,6.761,6.682,3.736000061035156,3.4790000915527344,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,74.08052007806047,73.44109951922043,70.98744851827198
2024-09-25,1323.8499755859375,26004.150390625,54101.6484375,2659.199951171875,83.56,6.738,6.673,3.7809998989105225,3.5179998874664307,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,75.12112794501051,74.26633817401753,71.93010489294885
2024-09-26,1329.050048828125,26216.05078125,54375.3515625,2669.89990234375,83.6,6.718,6.663,3.7909998893737793,3.559000015258789,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,78.24728342892666,75.92370587892765,72.87036137091893
2024-09-27,1306.5999755859375,26178.94921875,53834.30078125,2644.300048828125,83.68,6.759,6.677,3.749000072479248,3.503000020980835,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,76.43625847605486,66.7691721336735,63.0508578690491
2024-09-30,1273.0,25810.849609375,52978.1015625,2636.10009765625,83.76,6.75,6.669,3.802000045776367,3.5769999027252197,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,61.28168539418512,55.3878042243982,51.80024240407565
2024-10-01,1274.4000244140625,25796.900390625,52922.6015625,2667.300048828125,83.81,6.732,6.661,3.743000030517578,3.5209999084472656,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,60.78982214936107,54.736478600151294,52.18310941127907
2024-10-02,1274.4000244140625,25796.900390625,52922.6015625,2647.10009765625,83.81,6.732,6.661,3.785000085830689,3.552999973297119,3040.46,-839.45,157.111,136.303904538932,-34.19886,6.75,4.5,6.585873921966945,10261.0,18308.0,,,
