,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr)
2023-05-18,923.6331176757812,18129.94921875,43752.30078125,1956.5,82.77,6.983,6.918,3.6480000019073486,3.697999954223633,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-19,931.2446899414062,18203.400390625,43969.3984375,1978.699951171875,82.65,7.004,6.946,3.691999912261963,3.747999906539917,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-22,927.39013671875,18314.400390625,43885.1015625,1974.800048828125,82.83,6.985,6.871,3.7190001010894775,3.7669999599456783,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-23,930.366455078125,18348.0,43954.44921875,1972.4000244140625,82.84,7.016,6.919,3.697999954223633,3.747999906539917,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-24,917.9244384765624,18285.400390625,43677.8515625,1962.800048828125,82.66,6.99,6.916,3.7190001010894775,3.7820000648498535,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-25,917.1437377929688,18321.150390625,43681.3984375,1943.0999755859375,82.76,7.007,6.937,3.813999891281128,3.8959999084472656,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-26,927.7316284179688,18499.349609375,44018.0,1944.0999755859375,82.58,7.003,6.93,3.809999942779541,3.937999963760376,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-29,925.2432861328124,18598.650390625,44311.8984375,1944.0999755859375,82.58,7.024,6.967,3.809999942779541,3.937999963760376,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-30,926.9998168945312,18633.849609375,44436.3515625,1958.0,82.67,7.011,6.947,3.700000047683716,3.825999975204468,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-31,926.2191162109376,18534.400390625,44128.1484375,1963.9000244140625,82.68,6.989,6.916,3.63700008392334,3.743000030517578,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-01,913.484375,18487.75,43790.19921875,1978.0,82.41,6.979,6.906,3.6080000400543217,3.700999975204468,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-02,915.48486328125,18534.099609375,43937.8515625,1952.4000244140625,82.35,6.984,6.893,3.690999984741211,3.8420000076293945,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-05,923.8770751953124,18593.849609375,44101.6484375,1958.0,82.67,6.997,6.918,3.693000078201294,3.8299999237060542,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
